"Name"	"coefficients"	"df.residual"	"sigma"	"stdev.unscaled"	"Amean"	"s2.post"	"t"	"p.value"	"lods"	"F"	"F.p.value"
"DDR1"	1.6634193525	1189	0.4701029275	0.1314473217	11.1294614341	0.220694237	26.9373278503	"3.2113713038513e-125"	274.9417478329	725.6196317162	"3.2113713038513e-125"
"RFC2"	0.4426240055	1189	0.4578781114	0.1314473217	7.3021902862	0.2093791403	7.3589612554	"3.4422029240877e-13"	17.9613224412	54.1543107583	"3.4422029240877e-13"
"HSPA6"	-0.3876630619	1189	0.3091217065	0.1314473217	7.6391806815	0.0955776974	-9.5394733356	"7.77788003123717e-21"	35.3363833839	91.0015515201	"7.77788003123717e-21"
"PAX8"	0.0364298281	1189	0.3914154034	0.1314473217	9.4270740234	0.1530785855	0.7083504281	0.478866152	-8.2797406582	0.501760329	0.478866152
"GUCA1A"	-0.3598359531	1189	0.1328216162	0.1314473217	4.941450134	0.0178642911	-20.4814131606	"4.0503440051522e-80"	171.2508454728	419.4882850552	"4.0503440051522e-80"
"UBA7"	1.1414599729	1189	0.4398946697	0.1314473217	8.6916205814	0.1932757959	19.7524153911	"2.36445912331675e-75"	160.2994705147	390.1579137815	"2.36445912331675e-75"
"THRA"	-0.3531217437	1189	0.2309769112	0.1314473217	6.4143513275	0.0534808127	-11.6164578153	"1.25223110860101e-29"	55.4151374487	134.9420921741	"1.25223110860101e-29"
"PTPN21"	-0.4454230431	1189	0.1755890059	0.1314473217	5.8256280987	0.0310201409	-19.2397336751	"4.71692306332211e-72"	152.7183717308	370.1673518897	"4.71692306332211e-72"
"CCL5"	-0.1159536746	1189	1.0925133669	0.1314473217	7.7267699805	1.1907708857	-0.8083857902	0.419029822	-8.203879137	0.6534875858	0.419029822
"CYP2E1"	-0.7196193978	1189	0.2116175777	0.1314473217	4.8759323039	0.0449346091	-25.8262074942	"3.59150179907343e-117"	256.4313424048	666.9929935359	"3.59150179907343e-117"
"EPHB3"	-0.0768089745	1189	0.6498246308	0.1314473217	8.5460983711	0.4214496624	-0.9000929713	0.3682525667	-8.1255515585	0.810167357	0.3682525667
"ESRRA"	0.2066748186	1189	0.216149363	0.1314473217	8.3764076135	0.0468681501	7.2626801405	"6.8342866422052e-13"	17.2873388707	52.7465228231	"6.8342866422052e-13"
"CYP2A6"	-0.5971877426	1189	0.94143899	0.1314473217	7.5891336009	0.8842864523	-4.8312850047	"1.53306660323804e-06"	3.032425195	23.3413147967	"1.53306660323804e-06"
"GAS6"	1.195366762	1189	0.4796380973	0.1314473217	10.6611209629	0.2297267888	18.9733323147	"2.34725649950871e-70"	148.8203851474	359.9873391255	"2.34725649950871e-70"
"MMP14"	1.0426187989	1189	0.5967359301	0.1314473217	9.5905237882	0.3554423102	13.3042148054	"9.3140590359816e-38"	74.0210222112	177.0021315879	"9.3140590359816e-38"
"TRADD"	1.0117963495	1189	0.2707405166	0.1314473217	8.3131619043	0.0733793786	28.415437818	"4.76163070834666e-136"	299.849169753	807.4371063867	"4.76163070834666e-136"
