"Name"	"lods"	"F.p.value"
"DDR1"	274.9417478329	"3.2113713038513e-125"
"RFC2"	17.9613224412	"3.4422029240877e-13"
"HSPA6"	35.3363833839	"7.77788003123717e-21"
"PAX8"	-8.2797406582	0.478866152
"GUCA1A"	171.2508454728	"4.0503440051522e-80"
"UBA7"	160.2994705147	"2.36445912331675e-75"
"THRA"	55.4151374487	"1.25223110860101e-29"
"PTPN21"	152.7183717308	"4.71692306332211e-72"
"CCL5"	-8.203879137	0.419029822
"CYP2E1"	256.4313424048	"3.59150179907343e-117"
"EPHB3"	-8.1255515585	0.3682525667
"ESRRA"	17.2873388707	"6.8342866422052e-13"
"CYP2A6"	3.032425195	"1.53306660323804e-06"
"GAS6"	148.8203851474	"2.34725649950871e-70"
"MMP14"	74.0210222112	"9.3140590359816e-38"
"TRADD"	299.849169753	"4.76163070834666e-136"
"FNTB"	64.5351492871	"1.29307823655718e-33"
"PLD1"	-0.5686865197	"6.64235673656676e-05"
"PMS2L11"	73.6073238105	"1.41168738492623e-37"
"BAD"	57.7096992787	"1.24293459962946e-30"
"PRPF8"	378.1098838341	"4.55728243989862e-170"
"CAPNS1"	544.6833009031	"1.84196823121303e-242"
"RPL35"	708.3367645076	"1.38215455390830e-313"
"RPL28"	873.5877352479	0
"EIF4G2"	543.3416976506	"7.052214305708e-242"
"EIF3D"	406.3989884967	"2.30835211531611e-182"
"PARK7"	197.0960821299	"2.30130175186645e-91"
"SRP14"	558.8396234155	"1.29754196923165e-248"
"GDI2"	116.9587029059	"1.76288944790277e-56"
"GDI2"	245.0851568542	"3.08451641902106e-112"
"RPL11"	522.2460129697	"1.03808485308767e-232"
"ARF3"	139.2938877072	"3.29800098235874e-66"
"RPL21"	414.1155861663	"1.02212529330172e-185"
"RPL24"	782.5776869061	0
"HNRNPC"	252.8044950077	"1.35637523984757e-115"
"SEPT2"	135.4218963588	"1.60064079087131e-64"
"HNRNPA1"	373.5931942297	"4.18669853041431e-168"
"RPS27A"	369.8828440021	"1.71624051393424e-166"
"RPS13"	554.1900223722	"1.36075991974437e-246"
"FAU"	752.2207364433	0
"TARDBP"	76.7055046906	"6.27129077296171e-39"
"CFL1"	874.7329402638	0
"RPL18"	688.8966551288	"3.88925559760081e-305"
"EIF3F"	398.9770932867	"3.88197195075864e-179"
"RPS5"	368.6309660437	"6.00773415558217e-166"
"RPL27"	424.3035939643	"3.8162122372369e-190"
"RPL34"	377.3380390829	"9.86699044944225e-170"
"NARS"	194.0694073339	"4.77233663094428e-90"
"STARD7"	229.117366406	"2.7129953675653e-105"
"RPL19"	589.4359601527	"6.55023887717772e-262"
"SLC25A3"	198.1682664973	"7.86192873694498e-92"
"RPS11"	488.2501330311	"6.17237143170387e-218"
"RPL9"	515.1950296647	"1.20364905949867e-229"
"DDX5"	426.0790964216	"6.4561927542662e-191"
"RPL6"	614.3986908804	"9.28041420164865e-273"
"DULLARD"	342.0055823652	"2.24851002229344e-154"
"RPL10A"	361.9834699883	"4.65682918835656e-163"
"CBX3"	252.043368173	"2.90638949554606e-115"
"RPL17"	438.7311164002	"2.04782307384165e-196"
"PSMB2"	199.3726602372	"2.35274247548905e-92"
"KHDRBS1"	61.6239361286	"2.41892986319932e-32"
"BAT1"	694.8787545212	"9.7694621213025e-308"
"C22orf28"	223.5079214321	"7.46701767463387e-103"
"ERH"	664.0208076385	"2.52031532171114e-294"
"SFRS9"	316.1638779235	"3.84821021312097e-143"
"ABCF1"	113.7044838588	"4.61404661580195e-55"
"DAD1"	214.6184841055	"5.49076202284152e-99"
"YY1"	220.8671343357	"1.05131901572361e-101"
"JTB"	540.5832943825	"1.11452946751282e-240"
"MYST2"	102.8800321689	"2.406482714436e-50"
"ZNF146"	193.29315037	"1.03860249770082e-89"
"SART1"	247.4472973835	"2.89718630318079e-113"
"ILF2"	289.1588961838	"2.1153877332241e-131"
"SPAG7"	496.7749490097	"1.21801126551283e-221"
"ZNF259"	6.5353649509	"4.09089875657777e-08"
"TAF10"	156.1378815245	"1.53161468710178e-73"
"C1D"	39.957547971	"7.31643460107077e-23"
"NONO"	653.7838092328	"7.08923307330806e-290"
"SNRNP200"	346.8010520893	"1.85098682869083e-156"
"RHOA"	239.6276511248	"7.28657778888125e-110"
"RNPS1"	498.7563056017	"1.6771618454116e-222"
"RPS24"	627.0596324118	"2.91820438564095e-278"
"RPL30"	454.6444848258	"2.48482450049696e-203"
"NPM1"	341.3303251606	"4.41995013415162e-154"
"HSP90AB1"	752.5991201708	0
"ARF1"	791.2010383822	0
"IK"	142.7170469167	"1.06602522291688e-67"
"SNX3"	4.2898861602	"4.15966093460015e-07"
"CANX"	328.4216323993	"1.80597472646333e-148"
"SART3"	44.0809895339	"1.14188117826827e-24"
"C2orf24"	317.8790966887	"6.91235200988556e-144"
"SMNDC1"	-4.291599031	0.0036090163
"HNRNPM"	551.1123215946	"2.96013750661662e-245"
"HNRNPD"	158.4255918813	"1.54653809510799e-74"
"RPL14"	609.3480980083	"1.45393400278021e-270"
"GUK1"	636.3269308083	"2.73848880137948e-282"
"C19orf50"	290.9180557453	"3.63558704865098e-132"
"OAZ1"	849.916362636	0
"ATP6V0B"	600.3976157491	"1.12820918987870e-266"
"KARS"	209.2821655572	"1.15033498753062e-96"
"200080_s_at"	401.9780544971	"1.92642209197663e-180"
"RPS6"	686.1816072559	"5.88708081310899e-304"
"RPS7"	562.5164371606	"3.27507610694339e-250"
"USP22"	323.1195344134	"3.64377034253463e-146"
"C11orf58"	410.4666277782	"3.93926015124402e-184"
"TCEB2"	705.9969184938	"1.43727924920534e-312"
"COX4I1"	309.013091775	"4.94160954351952e-140"
"TMED2"	554.0630386407	"1.54513727383315e-246"
"RPL12"	416.1779989377	"1.297602562324e-186"
"RPL4"	406.4762018085	"2.13669886190539e-182"
"FNTA"	112.3728201746	"1.75520271323083e-54"
"RPS25"	261.7106116991	"1.81840748537651e-119"
"RPL37"	389.5540871424	"4.8372004366523e-175"
"HINT1"	333.6626710856	"9.5159613374521e-151"
"EEF2"	422.349678873	"2.69668917364525e-189"
"RPS10"	541.6053662534	"4.00785953364162e-241"
"ATP6V0E1"	247.3599272882	"3.16206126358669e-113"
"HNRNPK"	384.7496069994	"5.92654708163485e-173"
"ANAPC5"	419.5660886982	"4.37140507658432e-188"
"RPS3A"	471.111202709	"1.73342878654353e-210"
"HNRNPU"	298.9507338154	"1.17043132450369e-135"
"HNRNPU"	645.9762659314	"1.75323369012619e-286"
"EIF3A"	110.5333609137	"1.11141375783177e-53"
"EIF3A"	58.4685003446	"5.7908032979562e-31"
"EIF3A"	-4.7567473731	0.0060301518
"HSP90B1"	212.3253971941	"5.45840375781926e-98"
"HSP90B1"	553.7319788946	"2.15199638487094e-246"
"MSN"	210.1426553963	"4.85870776917572e-97"
"ACTN4"	336.5472866363	"5.30318686217631e-152"
"APP"	68.8910672285	"1.61809605492937e-35"
"PRKAR1A"	168.3417106519	"7.47349863817116e-79"
"PRKAR1A"	137.5491432003	"1.89659614699825e-65"
"PRKAR1A"	164.0601015023	"5.45689368785893e-77"
"DSP"	102.4540446708	"3.69033827333609e-50"
"RAD21"	-5.9161021564	0.0222697477
"RAD21"	138.986210812	"4.48975035425506e-66"
"WDR1"	459.6420681475	"1.67244119964407e-205"
"NCL"	363.392864766	"1.13627541817247e-163"
"WDR1"	540.5620295843	"1.13849979882913e-240"
"AP2B1"	70.0478698548	"5.05637670383692e-36"
"AP2M1"	596.8573789129	"3.89903827390553e-265"
"CLTC"	382.4575885306	"5.87496990111337e-172"
"AP2B1"	66.6415327537	"1.55414026161392e-34"
"MLEC"	120.5921213339	"4.60592024615761e-58"
"MLEC"	245.5143794378	"2.00693040414698e-112"
"LASP1"	145.397305318	"7.2581407906058e-69"
"SF3B2"	509.919270541	"2.36199751942961e-227"
"TMEM59"	243.992926322	"9.20798467235441e-112"
"CSRP1"	151.1193974781	"2.34272825221836e-71"
"CALM3"	17.2517979271	"7.08604212284998e-13"
"CALM3"	233.6845485153	"2.7998651509284e-107"
"MATR3"	321.8653079463	"1.27871318523349e-145"
"CAP1"	545.031780357	"1.29968310583e-242"
"MATR3"	231.0197992036	"4.03695776576478e-106"
"PTGES3"	432.535634643	"1.00901144454812e-193"
"WARS"	49.9178560368	"3.17951043913267e-27"
"WARS"	85.7802562549	"6.88141455425504e-43"
"SET"	181.2818403799	"1.74773824634751e-84"
"SET"	244.8618790123	"3.85730055687362e-112"
"NDRG1"	20.9389368117	"1.66883221897317e-14"
"UBB"	561.7040535073	"7.38369757969331e-250"
"PFN1"	831.5860559621	0
"PTPRF"	100.6348683424	"2.29118798082365e-49"
"PTPRF"	85.1229655853	"1.33171137249058e-42"
"PTPRF"	146.3287075751	"2.8531344046151e-69"
"YWHAZ"	363.9961925692	"6.21215253850297e-164"
"YWHAZ"	153.9664374053	"1.35010212053061e-72"
"YWHAZ"	140.2997167311	"1.20306735270578e-66"
"YWHAZ"	249.4776994585	"3.79349513295187e-114"
"SOD1"	349.2694919776	"1.56471052441019e-157"
"HDLBP"	223.9366194097	"4.86061333471725e-103"
"MARCKSL1"	197.3100784161	"1.85727376543178e-91"
"GABARAP"	576.2436071574	"3.54437990616744e-256"
"NUCB1"	25.8200639404	"1.18049184153273e-16"
"200647_x_at"	485.0799022211	"1.47301222742202e-216"
"GLUL"	79.7655003589	"2.89678013779285e-40"
"NUCB1"	261.7750435392	"1.70480512359308e-119"
"LDHA"	346.2747769033	"3.13446154886841e-156"
"GNB2L1"	694.7442015836	"1.11776757298279e-307"
"SSR2"	494.2218716739	"1.5674446401452e-220"
"CALM1"	378.1183761072	"4.51871364494386e-170"
"P4HB"	588.6871747806	"1.38571425507739e-261"
"CALM1"	232.7446785156	"7.17612778766469e-107"
"P4HB"	511.2525145849	"6.22110989886198e-228"
"SLC25A5"	159.9617733423	"3.31678111995072e-75"
"PHB"	176.1943255434	"2.85922909911572e-82"
"PHB"	-4.1131514446	0.0029675085
"S100A11"	668.932674766	"1.84787322765752e-296"
"CTSA"	130.0938366951	"3.34673531875853e-62"
"TOMM20"	300.5010438783	"2.47946396990561e-136"
"CD63"	512.1532731071	"2.52586025241225e-228"
"DNAJB1"	36.3953283512	"2.66861010090445e-21"
"SPARC"	387.093230024	"5.67770472135788e-174"
"DNAJB1"	218.2782012879	"1.40537745002462e-100"
"UBE2D3"	243.851380341	"1.06100844061662e-111"
"UBE2D3"	282.1552345351	"2.34625270775058e-128"
"UBE2D3"	82.7609399092	"1.42853755486919e-41"
"XBP1"	150.0508665912	"6.83729924351112e-71"
"SPTBN1"	44.6744955291	"6.27606855926682e-25"
"SPTBN1"	27.1471733989	"3.07740420873155e-17"
"LAPTM4A"	411.6310872492	"1.22833359995776e-184"
"RPL32"	516.5127069032	"3.2199861798122e-230"
"CD81"	502.0096327313	"6.46718174719095e-224"
"UBE2L3"	25.6051295471	"1.46775751757033e-16"
"PTTG1IP"	517.7294286615	"9.5297654344599e-231"
"GRN"	621.3297332419	"9.02274712761482e-276"
"HMGB1"	380.0312321378	"6.66197485576151e-171"
"HMGB1"	435.8698628141	"3.58767325688284e-195"
"GLO1"	89.4458269998	"1.7330639693981e-44"
"UBE2L3"	437.9642153451	"4.4115634940367e-196"
"UBE2L3"	424.5642662206	"2.93995664543126e-190"
"UBE2L3"	20.0766863404	"4.0068846595329e-14"
"SFRS11"	-7.2326995571	0.1072898705
"SFRS11"	80.0525191166	"2.17104174126749e-40"
"SF3B3"	15.7096408846	"3.40787974742101e-12"
"SF3B3"	-7.7634741649	0.2156517682
"EEF1G"	559.8703074093	"4.62592310523966e-249"
"HSPA9"	-5.7666974645	0.0187666065
"HSPA9"	142.7264036677	"1.05607214699691e-67"
"HSPA9"	253.8990415206	"4.53337820257022e-116"
"YWHAQ"	260.2278929701	"8.02444073783982e-119"
"DDX24"	375.9516770524	"3.95149901183112e-169"
"PPP2R1A"	308.5750918212	"7.66089693485435e-140"
"GSN"	124.2843552018	"1.13488744317160e-59"
"HK1"	236.9490383997	"1.06517222201391e-108"
"KDELR2"	393.2996523964	"1.13931297834306e-176"
"KDELR2"	236.3977342811	"1.85002697487378e-108"
"KDELR2"	220.3768538085	"1.71783138020866e-101"
"NPC2"	390.1908240972	"2.55767657422316e-175"
"DDX24"	23.1960110635	"1.68839500617276e-15"
"DYNLL1"	616.1749389491	"1.56896010360454e-273"
"LITAF"	127.4059303208	"4.95789584791225e-61"
"EEF1B2"	387.5906785695	"3.45114372050945e-174"
"LITAF"	174.0746571109	"2.39134471656601e-81"
"PRKCSH"	363.6633220654	"8.66816218677068e-164"
"GOT2"	-6.2790167808	0.0339069251
"FKBP1A"	483.3939289618	"7.96005838462402e-216"
"ACADVL"	112.7907631134	"1.15402303125251e-54"
"SKP1"	162.560913026	"2.45156962542515e-76"
"MAPRE1"	88.8364157246	"3.19601713719315e-44"
"MAPRE1"	114.5198935647	"2.03608560553744e-55"
"OS9"	346.3973900602	"2.77246340362738e-156"
"RPL13A"	284.6738418023	"1.88515746448524e-129"
"RPL13A"	695.6578384007	"4.47977919277281e-308"
"RPL7"	420.2439847231	"2.21818032371345e-188"
"SKP1"	220.6874336837	"1.25862010787548e-101"
"SKP1"	46.6112543832	"8.90508212508115e-26"
"ACTR1A"	83.2189988921	"9.01661268220379e-42"
"ACTR1A"	291.6444608468	"1.7569647649249e-132"
"CAPRIN1"	36.9711952945	"1.49173547768085e-21"
"CAPRIN1"	373.5770901152	"4.25472336311233e-168"
"RPL10"	175.8390497153	"4.08177109038411e-82"
"RPL10"	580.6651025783	"4.246193856901e-258"
"PPP1CC"	178.8000860909	"2.10070138167386e-83"
"ACTR2"	41.7796368782	"1.16354439524309e-23"
"ACTR2"	418.0521121954	"1.98893150248713e-187"
"ACTR2"	439.2459089971	"1.22337731789273e-196"
"PTP4A1"	25.4185021483	"1.77335015260848e-16"
"PTP4A1"	19.6537599172	"6.15819997775739e-14"
"PTP4A1"	18.8060028071	"1.45789836998746e-13"
"PTP4A1"	47.4275386611	"3.91101273568272e-26"
"ARF3"	34.4201822145	"1.96295646140073e-20"
"NACA"	590.5370944923	"2.17626686417299e-262"
"GPX1"	328.9087823207	"1.10904189809351e-148"
"PGK1"	101.9794385589	"5.9421767644978e-50"
"PGK1"	169.7110266682	"1.89496844072414e-79"
"SUMO3"	102.1374200729	"5.07085824616165e-50"
"SUMO3"	116.1958747814	"3.78943969704876e-56"
"RPS27"	516.8472039714	"2.30401779014696e-230"
"TPP1"	10.943825404	"4.42622892841530e-10"
"TPP1"	46.1461432116	"1.42322070478631e-25"
"GNB1"	280.679274641	"1.02823193029683e-127"
"GNB1"	213.1597501082	"2.36669069602362e-98"
"GNB1"	569.1721828562	"4.19477528623598e-253"
"NUMA1"	361.7308660852	"5.99635286001929e-163"
"FTH1"	342.882268211	"9.35008556961218e-155"
"RAN"	42.7715777533	"4.27748560829646e-24"
"RAN"	251.0787620048	"7.63506014605516e-115"
"HNRNPC"	356.9997760971	"6.82835265135127e-161"
"CAPN1"	409.0084500749	"1.69500209917128e-183"
"SFRS2"	197.9464210156	"9.81839751735466e-92"
"SFRS2"	246.5358348692	"7.21667392801183e-113"
"CALU"	83.3126167438	"8.20727867480626e-42"
"CALU"	80.2929832791	"1.70505226207906e-40"
"CALU"	106.462437991	"6.60645452965348e-52"
"NFE2L1"	16.0405569388	"2.43252895472307e-12"
"NFE2L1"	93.7014505267	"2.41516116540398e-46"
"ARL6IP5"	277.2153450911	"3.29725570580550e-126"
"ARL6IP5"	81.6517028861	"4.35378256777422e-41"
"DPYSL2"	15.4986312007	"4.22544988469568e-12"
"RPLP1"	827.0205460125	0
"CTNNA1"	462.4261414019	"1.03133299999331e-206"
"CTNNA1"	285.2312966345	"1.07890202105529e-129"
"CTSD"	227.3116819113	"1.65492343222111e-104"
"FAM120A"	96.6781015976	"1.21633198165844e-47"
"MAT2A"	388.7446468708	"1.08744168813711e-174"
"MAT2A"	9.5930364263	"1.76620002029551e-09"
"LAMC1"	0.5624606852	"2.01991855684667e-05"
"LAMC1"	47.8835657249	"2.46985518212795e-26"
"PTMA"	604.6392324994	"1.61808717888042e-268"
"PTMA"	487.4567813155	"1.36532334374923e-217"
"FAM120A"	277.6470076852	"2.14028300969357e-126"
"HNRNPK"	844.3691214594	0
"200776_s_at"	-7.8318842834	0.2373318067
"BZW1"	246.2733987164	"9.38557966664284e-113"
"SEPT2"	156.1834265844	"1.46326977626886e-73"
"ATF4"	383.4917862415	"2.08689677995212e-172"
"GNAS"	591.9763348139	"5.15499657604981e-263"
"RPS15A"	515.9274090382	"5.78385034809368e-230"
"ANXA5"	292.3403930512	"8.75388565547649e-133"
"STMN1"	-7.6516020303	0.1850464372
"LRP1"	156.4724821545	"1.09522403579281e-73"
"LRP1"	-3.0218536342	0.0009071798
"PSMB7"	290.8581231511	"3.86038709399792e-132"
"PEA15"	275.1646754091	"2.56899519691373e-125"
"PEA15"	282.6892794234	"1.37462555030483e-128"
"ECH1"	370.7206288287	"7.42050136514457e-167"
"ODC1"	35.7856261572	"4.94033969793661e-21"
"IQGAP1"	10.3015406409	"8.54433434072348e-10"
"XRCC6"	429.9466375774	"1.34616826340582e-192"
"ACO2"	156.9044789064	"7.10333992118399e-74"
"DAZAP2"	303.5565817375	"1.16410723612227e-137"
"SPARCL1"	57.4433103748	"1.62519890932747e-30"
"MCL1"	-4.2126517691	0.0033094186
"MCL1"	200.8582881938	"5.31228912902322e-93"
"MCL1"	81.0700847829	"7.80993061008619e-41"
"HSPA1A"	155.0655225217	"4.48680019239461e-73"
"200800_s_at"	201.7485944952	"2.17759197075174e-93"
"ACTB"	758.5080080234	0
"SARS"	181.6071437507	"1.26162240948537e-84"
"TMBIM6"	282.7935355102	"1.23838688178309e-128"
"TMBIM6"	272.4908037284	"3.73550875411263e-124"
"LMAN2"	275.8152251948	"1.33939837453298e-125"
"HSPD1"	216.4741720971	"8.55995784551578e-100"
"HSPD1"	291.2825279764	"2.52415877573804e-132"
"ZYX"	339.214225793	"3.67495900082765e-153"
"RPL12"	451.1599471174	"8.12227373490004e-202"
"CIRBP"	-0.4271139235	"5.72053658655228e-05"
"CIRBP"	-7.968811139	0.2893251559
"CCT7"	425.9427534824	"7.40001860139397e-191"
"PAFAH1B1"	61.1727489373	"3.80883692136989e-32"
"PSME1"	352.6436671103	"5.34287784982404e-159"
"PAFAH1B1"	21.9472319009	"5.99527951136973e-15"
"PAFAH1B1"	-1.912033508	0.0002761311
"RPS10"	523.3132394284	"3.56804335045039e-233"
"ATP5O"	348.4360894207	"3.6032347332039e-157"
"RPS15"	893.4651121273	0
"PSMD8"	364.1146774747	"5.5174917640624e-164"
"LAMP2"	151.5527724497	"1.51727309251692e-71"
"TPI1"	315.2267926838	"9.83165347162592e-143"
"RPL29"	576.6239356768	"2.42244085595006e-256"
"GSTP1"	103.2678783244	"1.63052467321212e-50"
"HYOU1"	220.1663190278	"2.12105660264069e-101"
"SNRPD2"	474.2050512716	"7.84037565145087e-212"
